"LineNumber","Line"
"988","\qt{子题：斜平壁上圆柱。直径 $d=2$cm，水平放在 $\alpha=60^\circ$ 斜平壁；左侧盛水，接触点 A 淹深 $h=1$cm。求单位长柱面总压力 $F$ 大小和方向。}"
"991","\qt{子题：真空吸水圆柱容器。$D=0.8$m，$d=0.3$m，容器空重 $100$N，支承在距液面 $b=1.5$m 的 C；真空吸水，液面高度 $a+b=1.9$m，求支承力 $R$。}"
"994","\qt{子题：平面闸门/矩形板，给水深、铰点、拉力位置，求总压力、压力中心、拉力。}"
"999","\qt{子题：曲面受静水压力，给圆弧门/圆柱面，求合力和方向。}"
"1004","\qt{子题：浮体稳定，给浮心、重心、排水体积或水线面惯性矩，判断稳/不稳。}"
"1010","\qt{子题：静水压平面/曲面/浮力变式链}"
"1032","\mt{母题3 控制体动量、喷嘴、弯管和机械能}"
"1040","\qt{子题：转弯变径管。$d_1=200$mm，$p_1=70$kPa；$d_2=400$mm，$p_2=40$kPa，$v_2=1$m/s，高差 $z=1$m。求流量和方向。}"
"1043","\qt{子题：烟囱烟道。烟气 $\rho_s=0.6$，空气 $\rho_a=1.2$kg/m$^3$；烟道损失 $8\rho v^2/2$，烟囱损失 $26\rho v^2/2$；标高 0、5、40m，求烟囱出口速度 $v$ 和接头静压 $p$。}"
"1046","\qt{子题：开口 U 型管水柱自由振荡，总长 $L$，初始液面差 $h_0$，忽略粘性。求振荡规律、周期和速度。}"
"1050","\qt{子题：自由射流冲击固定平板/挡板，给 $Q,V$ 和偏转角，求板受力。}"
"1055","\qt{子题：运动叶片/水轮机叶片，给绝对速度 $\bm V$、叶片速度 $\bm U$，求功率。}"
"1060","\qt{子题：CV 动量方程通用收口，给弯管支座力/喷嘴反力/管壁受力。}"
"1065","\qt{子题：CV 动量、射流、叶片、喷嘴变式链}"
"1084","\mt{母题4 势流绕圆柱、半圆柱气膜馆、环量与升力}"
"1091","\qt{子题：$20^\circ$C 水以 $5$m/s 流过直径 $1.2$m 圆柱。求偶极子强度；远处静压 $150$kPa，求 $\theta=180^\circ,135^\circ,90^\circ$ 表面压力；有环量 $\Gamma$ 时使 $35^\circ$ 和 $145^\circ$ 有驻点。}"
"1096","\qt{子题：点源点汇组合。点源 $Q$ 在 $(0,a),(0,-a)$，点汇 $-Q$ 在 $(-a,0),(a,0)$。写复势并证 $|z|=a$ 为流线。}"
"1099","\qt{子题：两垂直壁面点涡，真实涡 $+\Gamma$ 初始 $(\sqrt2,\sqrt2)$，求轨迹。}"
"1103","\qt{子题：薄平板 $l=1.5$m，$\alpha=5^\circ$，$U=50$m/s，$\rho=0.122$kg/m$^3$，求环量、驻点、升力。}"
"1107","\qt{子题：给任意源/汇/涡/偶极子叠加，要求 $\phi,\psi,V$ 或流线。}"
"1112","\qt{子题：镜像法，给壁面附近源/汇/涡，求壁面不穿透或涡轨迹。}"
"1116","\qt{子题：达朗贝尔佯谬与 Kutta--Joukowski 升力短答。}"
"1120","\qt{子题：势函数/流函数/圆柱/镜像/环量题型链}"
"1123","\subq{题眼：基本流公式表/壁面镜像/点源+均匀流半体/环量流量}"
"1201","\qt{子题：理想不可压无旋势流综合链，基本流、镜像、圆柱、环量}"
"1234","\subq{圆柱绕流：已知U、a、theta或表面点，求速度、压力、阻力/升力}"
"1269","\subq{点涡/源汇压力：已知Γ或Q和半径，求速度与压强差}"
"1273","\subq{边角势流：已知夹角alpha与边界，求速度奇异性/势函数指数n}"
"1279","% ---- 母题2归位：势流/圆柱/镜像/环量 ----"
"1345","\subq{圆柱绕流：已知U、a、theta或表面点，求速度、压力、阻力/升力}"
"1380","\mt{母题5 Laval/拉伐尔喷管、阻塞、正激波、面积-马赫}"
"1389","\qt{子题：Laval 喷管判态完整流程，题干给 $p_0,T_0,A_t,A_e,p_b$ 或测压计时用。}"
"1393","\qt{子题：等熵流。$T_0=500$K，$p_0=200$kPa；某截面 $p=150$kPa，求 $M,T$。}"
"1396","\qt{子题：大空气容器 $T_0=500$K，$p_0=300$kPa，Laval 喉部 $A^*=0.06$m$^2$，求最大质量流量。}"
"1400","\qt{子题：已知 $T_0=350$K，$p_0=10^6$Pa，$A_e=0.001$m$^2$，$p_b=9.3\times10^5$Pa，喉部 $M_t=0.6$，求出口 $T_e,\rho_e,M_e,V_e$ 及喉部 $T_t,\rho_t,p_t,V_t,A_t$。}"
"1406","\qt{子题：已知 $p_0=10^6$Pa，$T_0=350$K，$A_e=10$cm$^2$，$p_b=9\times10^5$Pa，要求喉部 $M_t=0.5$，求喉部面积 $A_t$。}"
"1412","\qt{子题：正激波。$M_1=2.5,p_1=30$kPa，$T_1=25^\circ$C，求波后 $M_2,p_2,T_2,V_2$。}"
"1415","\qt{子题：斜激波。尖劈顶角 $2\delta=20^\circ$，$M_1=2.5,p_1=85$kPa，$T_1=298$K，求 $\beta,M_2,p_2,T_2$。}"
"1418","\qt{子题：收缩喷管/小孔可压流量，给 $p_0,T_0,p_b,A_e$，求是否阻塞和 $\dot m$。}"
"1423","\qt{子题：气体密度/可压缩性判断，题给气体速度、压力、温度或体积弹性模量。}"
"1428","\qt{子题：可压文丘里/流量计，给截面面积、压强、温度或最低喉压，求 $M,\dot m$。}"
"1433","\qt{子题：马赫锥/超声速飞机，给飞行速度、高度声速或温度，求听到距离。}"
"1437","\qt{子题：Fanno 等截面绝热摩擦管，给管长/直径/摩擦因子/入口 $M$，求出口状态或是否阻塞。}"
"1447","\qt{子题：可压查表小表，考试无表时写输入/输出链。}"
"1451","\qt{子题：可压缩基础题串，等熵/临界/质量流量怎么落笔}"
"1537","\qt{子题：正激波、斜激波、PM 膨胀波查表题型链}"
"1606","\qt{子题：Laval喷管母题的弱化/面积-马赫/可压缩等熵流完整关系题型链}"
"1610","\formq{母题3统一公式链：从题干到完整答案}"
"1636","\subq{第一问：由喉部临界压+汞柱反推下游背压}"
"1644","\subq{第二问：用面积比生成两支出口态，再用三临界背压判激波}"
"1663","\subq{第三问：设计超声速工况汞柱高度}"
"1675","\qt{子题：等熵流由压力求马赫数与温度。空气源 $T_0=500$K、$p_0=200$kPa，某截面 $p=150$kPa，求 $M,T$。}"
"1677","\qt{子题：Laval 喷管最大质量流量。大容器 $T_0=500$K、$p_0=300$kPa，喉部 $A_t=0.06$m$^2$，求 $\dot m_{\max}$。}"
"1679","\qt{子题：拉伐尔喷管出口参数与喉部参数。给 $T_0=350$K、$p_0=10^6$Pa、$A_e=0.001$m$^2$、$p_b=9.3\times10^5$Pa、喉部 $M_t=0.6$，求出口和喉部参数。}"
"1681","\qt{子题：缩放喷管喉部面积。给 $p_0=10^6$Pa，$T_0=350$K，$A_e=10$cm$^2$，$p_b=9\times10^5$Pa，要求喉部 $M_t=0.5$，求 $A_t$。}"
"1683","\qt{子题：斜激波角和波后参数。二维尖劈顶角 $2\delta=20^\circ$，$M_1=2.5,p_1=85$kPa，$T_1=298$K，求 $\beta,M_2,p_2,T_2$。}"
"1703","\subq{子题：收缩喷管背压流量，题干给$p_0,T_0,p_b,A_e$，求是否阻塞和$\dot m$}"
"1714","\subq{子题：可压文丘里/流量计，题干给最大流量、入口截面、最低喉压$p_t$}"
"1721","\subq{子题：声速/马赫锥，题干给飞机速度、高度、温度，求听到位置/距离}"
"1723","\subq{子题：弹性模量/密度变化，题干给液体$E$或气体等温压缩}"
"1725","\symq{母题3符号表：考试中最容易混的量}"
"1732","\errq{母题3统一检查}"
"1777","\subq{Laval背压状态：已知$p_0$,$T_0$,$A_e$/$A_t$,$p_b$，求出口状态/是否激波}"
"1787","\subq{收缩喷管：已知$p_0$,$T_0$,$p_b$,$A_e$，求是否阻塞、出口M和$\dot m$}"
"1793","\subq{Laval面积比/流量：已知Ae/At或A/Astar、p0,T0、背压/无激波，求M、状态、mdot}"
"1800","\subq{可压文丘里：已知截面面积/压强/温度，求Ma和$\dot m$}"
"1819","% ---- 母题3归位：可压等熵/喷管/阻塞 ----"
"1827","\subq{收缩喷管背压：已知$p_b$/$p_0$，求未阻塞/阻塞和出口状态}"
"1862","\subq{收缩喷管+背压：已知$p_0$,$T_0$,$p_b$,$A_e$，求流量是否达到最大}"
"1864","\subq{Laval面积比：已知Ae/At和pb，求出口M支路和pe}"
"1947","\qt{子题：正激波、斜激波、膨胀波综合判定}"
"1954","\subq{正激波：已知波前M1或面积位置，求M2、p2、T2、总压损失}"
"2033","% ---- 母题4归位：激波/斜激波/PM/Fanno ----"
"2075","\subq{正激波：已知波前M1或面积位置，求M2、p2、T2、总压损失}"
"2079","\subq{斜激波：已知M1和楔角/波角，求beta、M2、压力温度变化}"
"2087","\subq{管内正激波：已知Laval几何/激波截面，求波后状态和出口压强}"
"2093","\subq{Laval内激波：已知背压或激波位置，求As/Astar、M1、M2、pe}"
"2097","\subq{正激波：已知波前M1或面积位置，求M2、p2、T2、总压损失}"
"2103","\subq{斜激波：已知M1和楔角/波角，求beta、M2、压力温度变化}"
"2170","\mt{母题6 粘性层流解析解：Couette/Poiseuille/重力项/Stokes}"
"2178","\qt{子题：两层 Couette。下层 $h_1,\mu_1$，上层 $h_2,\mu_2$，下板固定，上板速度 $U$，压强常数，无质量力，求速度和剪应力。}"
"2182","\qt{子题：Couette--Poiseuille 混合流，给板距 $h$、上板速度 $U$、压强梯度 $dp/dx$，求 $u(y),Q,\tau_w$。}"
"2187","\qt{子题：管内层流。$\rho=1.24$kg/m$^3$，$\mu=0.001$，$D=8$cm，壁面剪切力 $0.72$N/m$^2$，轴向为 $x$，分别水平、向上、向下，求 $dp/dx$ 与 $Re$。}"
"2191","\qt{子题：Stokes 小球终速。半径 $a$ 小球在粘性流体中下落，证明 $U_t=2a^2(\rho_s-\rho)g/(9\mu)$。}"
"2194","\qt{子题：两板间薄板拉力。两平板距 20mm，油 $\mu=0.065$Pa s；薄板以 1m/s 拉动，距上板 5mm，面积 0.5m$^2$，求拉力。}"
"2197","\qt{子题：圆管层流 Hagen--Poiseuille，给 $\Delta p,L,D,\mu$ 求 $Q,\bar u,\tau_w$。}"
"2202","\qt{子题：湍流圆管壁面律，给平均速度或管心速度，求壁面剪应力/边界层范围。}"
"2207","\qt{子题：湍流时均分解与雷诺应力。题干有 DNS/RANS/LES、时均速度、脉动速度或雷诺应力张量。}"
"2212","\qt{子题：湍流管路摩阻，给粗糙度、流量、直径，求压降。}"
"2217","\qt{子题：边界条件速写，N-S 简化题第一行怎么写。}"
"2221","\qt{子题：粘性层流、圆管、两层 Couette 题型链}"
"2285","\qt{子题：粘性管流题型链，N-S、H-P、Couette、管内压损}"
"2305","\subq{平板Couette：已知板距h、上板速度U、$\mu$，求速度和剪应力}"
"2314","\subq{两层Couette：已知h1,h2,mu1,mu2,U，求两层速度和剪力}"
"2354","\subq{Couette--Poiseuille：已知U、dp/dx、h、$\mu$，求速度分布和流量}"
"2369","% ---- 母题5归位：N-S/H-P/Couette/管内粘性 ----"
"2375","\subq{两层Couette型：已知两层厚度/黏度和上板U，求tau与u1,u2}"
"2377","\subq{倾斜平板层流：已知H、theta、mu、rho及边界速度，求U0和壁面剪力}"
"2379","\subq{圆管H-P：已知$\mu$,D,L,$\Delta p$或Q，求速度分布/流量/压降}"
"2385","\subq{Stokes小球：已知d、rho差、mu，Re<1时求阻力或终速}"
"2407","\subq{平板Couette流量：已知U、h、宽度b，求单位宽流量q或总Q}"
"2441","\subq{倾斜平板层流：已知H、$\theta$、$\mu$、$\rho$及边界条件，求速度和剪力}"
"2460","\subq{Stokes沉降：已知d、rhos、rho、mu，求终速并校验Re}"
"2545","\mt{母题7 边界层、平板摩擦阻力、外绕流}"
"2551","\qt{子题：给定边界层速度分布求厚度。线性 $u=Uy/\delta$；三次式 $u=U[3y/(2\delta)-\frac12(y/\delta)^3]$，$y<\delta$，求排挤厚度和动量厚度。}"
"2555","\qt{子题：湍流边界层 1/6 指数律。$u/U=(y/\delta)^{1/6}$，$\tau_w=0.0233\rho U^2(\mu/\rho U\delta)^{1/4}$，求 $\delta/x,C_f$。}"
"2558","\qt{子题：圆球绕流阻力危机。}"
"2561","\qt{子题：铝球直径 2cm，SG=2.7，在 20$^\circ$C 水中下沉，$C_D=0.5$，求终速。}"
"2564","\qt{子题：氦气球直径 50cm，内压 120kPa，材料重 0.2N，空气 20$^\circ$C 一大气压，风速 4 和 24m/s，求拉线角。}"
"2568","\qt{子题：边界层积分法，给速度剖面 $u/U=f(y/\delta)$，求 $\delta^*,\theta,\tau_w,\delta(x)$。}"
"2573","\qt{子题：平板层流 Blasius，已知 $U,x$ 或 $L,\nu,b$，求 $\delta,C_f,D$。}"
"2578","\qt{子题：平板边界层有转捩，给 $Re_{cr}$，求总阻力。}"
"2583","\qt{子题：外绕阻力/终端速度，给物体尺寸、流体物性、速度，求 $D$ 或 $V_t$。}"
"2587","\qt{子题：边界层分离/阻力危机概念题。}"
"2591","\qt{子题：边界层、外绕阻力、相似查表题型链}"
"3911","\qt{子题：边界层、外绕流阻力综合收口题型链}"
"4011","% ---- 母题6归位：边界层/外绕阻力/相似 ----"
"4012","\subq{平板边界层：已知U,L,$\nu$,b，求$\delta$、$C_f$和摩擦阻力}"
"4027","\subq{平板阻力：已知U,L,b,rho,nu，求摩擦阻力和边界层厚度}"
"4067","\subq{相似准则：已知模型/原型尺度和流体，求速度、力或压强换算}"
"4069","\subq{平板层流Blasius：已知U,x或L,$\nu$，求$\delta$、$C_f$、D}"
"4073","\subq{边界层积分：已知速度剖面u/U=f(y/delta)，求delta*,theta,Cf}"
"4119","\subq{模型律：已知Re/Fr/Ma相似，求模型速度、力和功率换算}"
"4135","\subq{边界层积分：已知速度剖面u/U=f(y/delta)，求delta*,theta,Cf}"
"4147","\subq{水击/水波：已知管长/波速/关阀或水深，求压升/波速量级}"
"4179","\subq{子题：边界层积分法完整题，给速度剖面$u/U=f(y/\delta)$求$\delta(x),\delta^*,\theta,C_D$}"
"4183","\subq{子题：平板有转捩，给$U,L,b,\nu,\rho,Re_{cr}$求阻力和尾部厚度}"
"4187","\subq{子题：外绕球/圆柱/小颗粒，给$U,d,\rho,\mu$求阻力或沉降速度}"
"4191","\subq{子题：模型试验换算，给比例尺和主导相似准则，求模型速度/力/功率}"
"4195","\subq{子题：汽蚀/泵吸入口，给$p_a,p_v,Q,d,h,\lambda,\zeta$求最大安装高度}"
"4199","\subq{子题：水轮机/泵功率，给两水面或管段压强流速，求$P$}"
"4203","\subq{子题：Rayleigh量纲法，题干只给若干变量，求函数形式}"
"4205","\subq{子题：Buckingham $\pi$定理，题干要求“推出无量纲关系式”}"
"4225","\mt{母题8 速度场与应力张量综合：判流态、求势/流函数、求面力}"
"4229","\qt{子题：旧版速度场 $u=3x^2-3y^2,\ v=-6xy,\ w=0$，求速度势。}"
"4236","\qt{子题：应力张量 $P=\begin{pmatrix}-7&0&2\\0&-5&0\\2&0&-4\end{pmatrix}$，$\bm n=(2/3,-2/3,1/3)$，求应力矢量、法向分量、切向分量和夹角。}"
"4240","\qt{子题：曲面上一点应力。$P(x,y,z)$，点 $M(2,1,\sqrt3)$，平面与圆柱 $y^2+z^2=4$ 相切，求应力矢量。}"
"4243","\qt{子题：平面 $x+3y+z+1=0$ 上点 $(1,-1,1)$，给 $p_{ij}(x,y)$，求应力向量及法向/切向投影。}"
"4246","\qt{子题：散度求体力。常密度流场 $P=\begin{pmatrix}-3xy&5y^2&0\\5y^2&0&2z\\0&2z&0\end{pmatrix}$，满足 $\nabla\cdot P=-\rho\bm f$，求单位质量力。}"
"4250","\qt{子题：极坐标速度场 $V_\theta=ar,V_r=0$，求闭合路径速度环量。}"
"4253","\qt{子题：速度场判断不可压/无旋/流函数/势函数。}"
"4257","\qt{子题：速度梯度、变形率、旋转率，给线性速度场求运动学量。}"
"4260","\qt{子题：为什么应力张量常取对称，有什么用。}"
"4264","\qt{子题：应力矢量分解标准流程。}"
"4268","\mt{母题9 量纲分析与模型相似：由题干变量推出 $\pi$ 群和换算}"
"4276","\qt{子题：雷诺数准则与傅汝德数准则冲突。为什么 Re 准则和 Fr 准则总是矛盾？}"
"4279","\qt{子题：管内定常流压降的 $\pi$ 定理无量纲方程。$\Delta p$ 与 $d,l,\varepsilon,U,\rho,\mu$ 有关，用 $\pi$ 定理求关系式。}"
"4283","\qt{子题：小球阻力 $D$ 受 $u,\rho,\mu,d$ 影响，推 $C_D=f(Re)$。}"
"4287","\qt{子题：Re 准则和 Fr 准则是否矛盾，模型试验怎么取舍。}"
"4291","\qt{子题：Buckingham $\pi$ 定理，题目要求推出无量纲关系。}"
"4295","\qt{子题：水击，给管内流速变化 $\Delta V$ 和波速 $a$，求压升。}"
"4300","\qt{子题：线性水波/水面波/明渠扰动，给水深、波长或流速，判断深水/浅水/扰动传播。}"
"4304","\mt{母题10 概念证明与非定常势流：把文字题写成方程链}"
"4306","\qt{子题：运动学旧题眼：求速度势/流函数、流线/迹线、膨胀/收缩球、非定常无旋伯努利。}"
"4311","\qt{子题：非定常伯努利与柯西-拉格朗日积分。从无粘、质量力有势、不可压欧拉方程推积分式。}"
"4315","\qt{子题：证明可压缩平面定常流动存在流函数。}"
"4319","\qt{子题：物质运动及相互作用规律。连续介质假设和守恒方程如何形成流体力学方程。}"
"4322","\qt{子题：Bernoulli 方程适用条件和禁用场景。}"
"4325","\qt{子题：N-S 方程各项物理意义，简答题怎么写。}"
"4328","\qt{子题：层流、湍流、边界层的概念短答。}"
"4331","\qt{子题：证明题保底写法。}"
"4336","\qt{子题：母题10考场最后收口卡：按题干关键词反查母题}"
"4337","\ans{\textbf{液面/水池/泵/阀/长管/粗糙度：}母题1。首句写“取两自由液面或指定截面列机械能方程”。顺序 $Q\to A,V\to Re\to\lambda\to h_f,\sum h_\zeta\to p/H/P$。最后查：局损速度是否用所在管段，泵入口是否用绝压，水轮机功率是否乘效率。\\"
"4338","\textbf{闸门/U管/曲面/浮体：}母题2。首句写“静止流体，压强随深度线性”。平面 $F=\rho gh_cA$，压力中心 $y_p=y_c+I_c/(y_cA)$；曲面拆 $F_H,F_V$；浮体写重力=浮力并查稳性。最后查：深度向下、能量高度向上，表压/绝压不要混。\\"
"4339","\textbf{喷嘴/弯管/射流/叶片/支座：}母题3。首句写“取控制体，列动量方程”。顺序 $Q,A\to V,\dot m\to \sum F=\dot m(\bm V_2-\bm V_1)$；问管道受力，最后把“壁面对流体”取反。自由出口表压0，入口压力不能漏。\\"
"4340","\textbf{$\phi,\psi,Q,\Gamma$、圆柱、镜像、机翼：}母题4。首句写“不可压无旋，势函数/流函数可线性叠加”。顺序 叠加 $\phi/\psi\to$ 速度 $\to$ 驻点/流线边界 $\to$ Bernoulli 压力 $\to$ 积分力。最后查：壁面是 $\psi=C$，无环量圆柱阻力为0，有环量升力 $L'=\rho U\Gamma$。\\"
"4341","\textbf{$p_0,T_0,M,A^*,p_b$、喉部、喷管、激波：}母题5。首句写“先判等熵/阻塞/是否跨激波”。顺序 压比或面积比求 $M$，再求 $p,T,\rho,V,\dot m$；Laval 用 $p_{b1},p_{b2},p_{b3}$ 判支路；跨激波必须分段，用新 $p_{02}$。最后查：$p_b$ 是背压，不一定等于出口内压；$0.528$ 只对应空气临界静压比。\\"
"4342","\textbf{粘度、充分发展、两平板、圆管层流：}母题6。首句写“N-S 在定常充分发展条件下简化”。顺序 写保留项 $\to$ 积分 $\to$ 代边界条件 $\to$ 得 $u(y)$ 或 $u(r)$ $\to$ 剪应力/流量。最后查：无滑移、界面速度连续、界面剪应力连续；重力项方向符号。\\"
"4343","\textbf{平板边界层、阻力、沉降、气球风载：}母题7。首句写“先用 Re 判层/湍/转捩”。顺序 $Re_x/Re_L\to C_f,\delta,\delta^*,\theta\to D$；外绕阻力 $D=C_D\rho U^2A/2$；终速用重力/浮力/阻力平衡。最后查：单面/双面、迎风面积/湿面积、$C_D$ 不等于管内 $\lambda$。}"
"4344","\qt{子题：最容易漏写的一行，考试缺步骤时补在对应母题后}"
"4356","\qt{子题：新题只问“解释/判断”，也按大题四行写。}"
"4358","\qt{子题：新题给一张陌生图，先把它改写成老母题。}"
"4359","\ans{图有液面/管路/泵阀：编号水面、入口、变径、出口，落到母题1。图有闸门/曲面/浮体：找形心、压力中心、压力体，落到母题2。图有喷嘴/弯头/叶片：先能量求速度，再CV动量，落到母题3。图有圆柱/壁面/源汇：写 $\phi,\psi$ 叠加，落到母题4。图有喉部/背压/激波：$p_0,T_0,A_t,A_e,p_b$，落到母题5。图有两板/管内层流：写 N--S 简化和边界条件，落到母题6。图有平板/边界层/阻力：$Re_x,C_f,\delta$，落到母题7。图有模型/原型：列变量与 $\pi$ 群，落到母题9。}"
"4360","\qt{子题：考试答案没时间完整算，怎样保过程分。}"
"4363","\ans{母题1：$cm^2$ 换 $m^2$，局损速度、表压/绝压、泵/水轮机符号。母题2：压力中心比形心深，曲面竖向力等于压力体水重。母题3：压力力推入CV，答案问管壁/支座要取反。母题4：势流可叠加，但真实阻力不能用达朗贝尔零阻力。母题5：$p_b\ne p_e$，$A_t=A^*$ 只在阻塞时成立，激波后用新 $p_{02}$。母题6：充分发展才可令 $u=u(y)$ 或 $u(r)$。母题7：平板摩擦用湿面积，外绕阻力用迎风面积。母题9：相似换算先定主导准则，$Re$ 与 $Fr$ 冲突时不能同时满足。}"
"4364","\qt{子题：若新卷出现“给速度场，判不可压/有旋/求势函数流函数”。}"
"4366","\qt{子题：若新卷出现“应力张量/某平面受力/夹角”。}"
"4368","\qt{子题：若新卷出现“非定常 U 管/液面振荡/非定常 Bernoulli”。}"
