id,section,kp,kp_name,source,path,image_path,question
Q0113,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-023.png,"1.( 10 试)[本题得试______] 长度抄 l 考草直梁承受均布载荷q )抄使梁横截面内最大弯矩达到最小值,考 考证以称放置考两支考考组距a =(2- √ ̄2) l ) y q x A D B C a l [证明题-第1题图]"
Q0117,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-027.png,3.( 10 试)[本题得试______] 抄梁考FS 、M 图) q q a 2 a [计算题-第3题图] 第 4页 / 共 5页[11题] [ ND 59 ] ☆☆☆☆☆ 材材材学组试材材(2007A版)☆☆☆☆☆ 组试考组)2009年04月02日[03:31PM]
Q0118,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-028.png,4.( 10 试)[本题得试______] 抄梁考FS 、M 图) 20kN 240kN m 20kN)m A B 2m 8m 2m [计算题-第4题图]
Q0125,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-035.png,3. ( 10 本) 本本如图示 第 2页 / 共 3页[11题] ☆☆☆☆☆ 材材材材组组材材(2007A版) ☆☆☆☆☆ 组组组组:2009年04月02日[03:31PM] qa (十) FS (一) qa M qa2 /2 (十) qa2 /2 qa2 [计算题-第3题图]
Q0126,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-036.png,"4. ( 10 本) FA =80kN(↑ ), FB =140kN(↑ ) 80 60 (十) 20 FS (一) (kN) 80 80 80 (一) M (十) (kN m) 80 160 [计算题-第4题图]"
Q0130,支反力、剪力图、弯矩图、危险截面,K05.1,支反力、截面法与内力方程,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-040.png,"1.( 10 试)[本题得试______] 简支梁受载试图,利考q 与FS 、M 间考微试关系,考证全梁考剪材图面积之和 抄零) 第 1 页 / 共 5 页[ 9 题] [ ND 52 ] ☆☆☆☆☆ 材材材学组试系材(2007A版)☆☆☆☆☆ 组试考间)2009年04月02日[03:32PM] q(x) A B l [证明题-第1题图] 计算题(共6题80分)"
Q0133,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-043.png,3.( 10 试)[本题得试______] 抄梁考FS 、M 图) qa 3 2 q qa 2 a a a [计算题-第3题图]
Q0134,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-044.png,4.( 15 试)[本题得试______] 抄梁考FS 、M 图) 第 3 页 / 共 5 页[ 9 题] [ ND 52 ] ☆☆☆☆☆ 材材材学组试系材(2007A版)☆☆☆☆☆ 组试考间)2009年04月02日[03:32PM] 20kN 240kN m 20kN)m A B 2m 8m 2m [计算题-第4题图]
Q0138,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-048.png,1. ( 10 本) dM ( x )/d x =FS ( x ) l l ∫ FS ( x )d x =∫ dM ( x )=M ( l )-M (0)=0 0 0 计算题(共6题80分)
Q0141,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-051.png,3. ( 10 本) 本本如图示 qa 2 qa (十) FS qa2 M (十) (十) qa 2 2 qa2 /2 qa2 /2 3 [计算题-第3题图]
Q0142,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-052.png,"4. ( 15 本) FA =80kN(↑ ), FB =140kN(↑ ) 80 60 (十) 20 FS (一) (kN) 80 80 80 (一) M (十) (kN m) 80 160 [计算题-第4题图] 第 2页 / 共 3页[ 9题] ☆☆☆☆☆ 材材材材组组材材(2007A版) ☆☆☆☆☆ 组组组组:2009年04月02日[03:32PM]"
Q0154,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-064.png,3.( 10 试)[本题得试______] 抄梁考FS 、M 图) qa q qa2 )2 a a a [计算题-第3题图]
Q0162,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-072.png,3. ( 10 本) 本本如图示 qa/2 qa (十) (十) FS (一) qa/2 2 qa /2 (十) M qa2 /2 [计算题-第3题图]
Q0174,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-084.png,3.( 15 试)[本题得试______] 抄梁考FS 、M 图) 第 4页 / 共 6页[11题] [ ND 40 ] ☆☆☆☆☆ 材材材学组试材材(2007B版)☆☆☆☆☆ 组试考组)2009年04月02日[03:36PM] qa2 )4 3 qa2 )4 3 q a a 3 [计算题-第3题图]
Q0180,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-090.png,3. ( 15 本) 本本如图示 qa FS (一) qa 2 2 qa 2 qa2 /2 3 (十) M 2 qa /4 3 [计算题-第3题图]
Q0193,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-103.png,2.( 10 试)[本题得试______] 抄梁考FS 、M 图) qa2 q q a 2 a 3 [计算题-第2题图]
Q0200,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,2009 - 2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题\2009\2009材料力学模拟试卷及答案六套题.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2009_2009材料力学模拟试卷及答案六套题\q-110.png,2. ( 10 本) 本本如图示 qa 2 (十) FS qa 2 qa 5 (十) qa2 /2 9 qa2 3 2 qa 2 M [计算题-第2题图]
Q0215,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,习题课作业_11070929.pdf,D:\虚拟C盘\学习\固体力学\考题\习题课作业_11070929.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\习题课作业_11070929\q-001.png,"2. 如图所示,总重量为 P 的汽车从跨长为 l 的桥上通过,其重量的 1/4 落在前轮 上,3/4 落在后轮上,前后轮之间的距离为 b=l /10。试写出汽车在任意位置 时,梁的弯矩表达式;并且求出弯矩取最大值时汽车所在的位置。 b l a"
Q0218,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题\开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\开放式思维训练\q-002.png,"3. B、C两点的剪应力分别达到s时, 计算A点以内圆截面上的内力偶 矩 开放式思维案例 根据变形分析内力 TSINGHUA UNIVERSITY M B A l l 开放式思维案例 TSINGHUA UNIVERSITY 根据变形分析内力 M M B A l l l 开放式思维案例 根据变形分析内力 TSINGHUA UNIVERSITY M A M B l l l 开放式思维案例 TSINGHUA UNIVERSITY  比较三个梁的受力、剪力和弯矩图的相同之处和不同 之处,从中能得到什么重要结论? 开放式思维案例 q 比较三种情形下梁的 受力、剪力和弯矩图 q 的相同之处和不同之 TSINGHUA UNIVERSITY q ql/2 l l ql/2 处。 FQ q ql/2 l q l ql/2 ql/2 x FQ q ql2/8 x l l ql ql x ql FQ ql2 ql2/8 ql M ql2/2 x x ql M ql2/2 从中能得到什么重要结论?什么变 x 化了?什么保持不变? M 开放式思维案例 平衡微分关系的反运算 TSINGHUA UNIVERSITY q q  确定控制面上剪力和弯矩 ql/2 l l ql/2 有几种方法?怎样确定弯矩图 FQ 上极值点处的弯矩数值? ql/2 ql/2 ql/2 x x M ? 开放式思维案例 平衡微分关系的灵活应用 TSINGHUA UNIVERSITY q  通过平衡微分方程的积分确定弯 矩图上极值点处的弯矩数值。 q l l dM ql/2 ql/2  FQ dM  FQ dx FQ dx ql/2 e e  dM   F dx ql/2 e ql/2 x a Q a a M e   M a   AFQ  a e Ma x M e   M a   AFQ  a Me e M 开放式思维案例 A B E 反问题 3000 1000 TSINGHUA UNIVERSITY FQ/kN 20 15 + x O – 25 静定梁承受平面载荷,但无集中力偶作用,其剪力图如图所示。 若已知A端弯矩MA=0,试确定梁上的载荷及梁的弯矩图,并指出 梁在何处有约束,且为何种约束。 开放式思维案例 反问题 FQ/kN TSINGHUA UNIVERSITY"
Q0219,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题\开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\开放式思维训练\q-003.png,0.3  只给定梁的剪力图 x C B 能不能确定梁的受力 O ?能不能确定梁的支 A 0.3
Q0220,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题\开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\开放式思维训练\q-004.png,"0.225 0.225 x ?由给定的剪力图能 O C B 否确定弯矩图?答案 是否惟一? 4000 4000 M / kN  m 开放式思维案例 怎样用简单、有效、巧妙的方法指明等边三角形 TSINGHUA UNIVERSITY 过截面形心的一对坐标轴都是主轴? Ix  Iy Ix y  sin 2  I xy cos 2 1 1 2 向正n边形的推广 开放式思维案例  复合材料杆与复合材料梁横截面上的应力分布 TSINGHUA UNIVERSITY 杨氏模量分别为E1和E2 (E1>E2)的两种 材料的等截面直杆粘合成一体,承受 轴向载荷,如图所示。"
Q0225,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题\开放式思维训练.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\开放式思维训练\q-009.png,"3. 研究两梁粘合成一体时,中性轴的位置以及如何确定最大拉应力 和最大压应力。 开放式思维案例 EI M TSINGHUA UNIVERSITY O C B x A l wB w 等刚度悬臂梁A端固定、B端自由,在B端承受集中力偶M。 请: 1。不通过微分方程的运算,判断梁挠度曲线的的形状— —直线?二次抛物线?三次抛物线?圆曲线?简单说明理由。 2。分析梁的根部O处有没有位移?有没有变形? 开放式思维案例 q A TSINGHUA UNIVERSITY B C D l l l 连续梁由AB和BCD两部分通过中间铰B连接而成,A处为固 定端、C处为辊轴。梁在BCD段承受集度为q的均布载荷。请: 1。画出剪力图和弯矩图。 2。画出梁的挠度曲线大致形状。 开放式思维案例 C FP FP l TSINGHUA UNIVERSITY B l 平面刚架受力如图所示。请 l l"
Q0239,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,材力考试试题.doc,D:\虚拟C盘\学习\固体力学\考题\材力考试试题.doc,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\材力考试试题\q-001.png,"1、图示等截面直梁,A、B两处分别为固定铰支和滑动铰支,BD段承受向下的均匀分布载荷,其集度均为q,A端受集中弯矩,C端受集中力F=2qa,求: (1) A、B处的约束反力; (2) 画出梁的剪力图和弯矩图; (3) 写出最大剪力和最大弯矩的表达式,并指出其作用的截面位置。"
Q0240,支反力、剪力图、弯矩图、危险截面,K05.2,剪力图、弯矩图与危险截面,材力考试试题.doc,D:\虚拟C盘\学习\固体力学\考题\材力考试试题.doc,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\材力考试试题\q-002.png,"2、 如下图为承受横向载荷的梁的横截面。若剪力均为铅垂向下,试画出各截面上的切应力流方向。"
Q0003,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2001 - 2001\2001-A期末考试卷.doc,D:\虚拟C盘\学习\固体力学\考题\2001\2001-A期末考试卷.doc,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2001_2001_A期末考试卷\q-003.png,"三、(20分) 要设计一件等应力简支梁如图所示,即要求梁的任意横截面上的最大正应力是材料许用应力[?]。而铰支座附近应该满足韧性材料的切应力准则。设梁的宽度为常数b,长度为L,梁中点受一集中力P作用,求梁的高度h随梁的轴线位置x变化的关系。"
Q0008,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2001 - 2001\2001年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2001\2001年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2001_2001年期末_A卷\q-003.png,"三、(20 分) 要设计一件等应力简支梁如图所示,即要求梁的任意横截面 上的最大正应力是材料许用应力[]。而铰支座附近应该满 足韧性材料的切应力准则。设梁的宽度为常数 b,长度为 L, 梁中点受一集中力 P 作用,求梁的高度 h 随梁的轴线位置 x 变化的关系。"
Q0027,截面几何、弯曲正应力、强度校核,K07.2,弯曲剪应力 VQ/(Ib),2003 - 2003\2003年期末（B卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2003\2003年期末（B卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2003_2003年期末_B卷\q-002.png,"二、(25) 滑雪场缆车由截面为圆环的钢管和车 厢构成。钢管的内径 di=52 mm,外 径 do=60 mm。与车厢相比,钢管的重 量可以忽略不计,车厢的重量为 W= 2kN。 (a)确定 C 点的应力分量σxx,σyy 和τxy, C 点处于管截面的外表面,并用微元 表示。(b)计算 C 点的主应力及其方 向,计算 C 点的最大切应力。(c)计算 DE 段上截面的最大拉伸应力。"
Q0041,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2004 - 2004\2004年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2004\2004年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2004_2004年期末_A卷\q-002.png,"2. T 形截面外伸梁,受力与截面尺寸如图所示,其中 C 为截面形心,q=20kN/m, I z = 2.136 × 10 7 mm4。梁的材料为铸铁,其抗拉许用应力 [σ ] + = 35MPa,抗 − 压许用应力 [σ ] = 60MPa。试校核该梁是否安全。(25 分) q"
Q0044,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2004 - 2004\2004年期末（B卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2004\2004年期末（B卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2004_2004年期末_B卷\q-001.png,"1. T 形截面外伸梁,受力与截面尺寸如图所示,其中 C 为截面形心,q=20kN/m, I z = 2.136 × 10 7 mm4。梁的材料为铸铁,其抗拉许用应力 [σ ] + = 35MPa,抗 − 压许用应力 [σ ] = 60MPa。试校核该梁是否安全。(25 分) q"
Q0061,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2005 - 2005\2005期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2005\2005期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2005_2005期末_A卷\q-002.png,"2. T 形截面外伸梁,受力与截面尺寸如图所示,其中 C 为截面形心,q=20kN/m, I z = 2.136 × 10 7 mm4。梁的材料为铸铁,其抗拉许用应力 [σ ] + = 35MPa,抗 − 压许用应力 [σ ] = 60MPa。试校核该梁是否安全(忽略剪力影响) 。(25 分) q"
Q0063,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2005 - 2005\2005期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2005\2005期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2005_2005期末_A卷\q-004.png,"4. 图示梁 AB 在 A 端固支、在 C 点与杆 CD 铰接、在 B 点作用集中力 P。设梁 AB 和杆 CD 的横截面均为边长为 b = a /10 的正方形,并且它们具有相同的弹 性模量 E 和许用应力 [σ] = 0.5 × 10 E 。杆 CD 的稳定安全因数 [ n]st = 1.5 。 -3 若忽略剪力影响,试求保证结构安全的最大载荷 P。(25 分) a 2a P A C B a D"
Q0069,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2006 - 2006\2006年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2006\2006年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2006_2006年期末_A卷\q-002.png,"2. T 形截面外伸梁,受力与截面尺寸如图所示,其中 C 为截面形心,q=20kN/m, I z = 2.136 × 10 7 mm4。梁的材料为铸铁,其抗拉许用应力 [σ ] + = 35MPa,抗 − 压许用应力 [σ ] = 60MPa。试校核该梁是否安全(忽略剪力影响) 。(25 分) q"
Q0071,截面几何、弯曲正应力、强度校核,K07.1,弯曲正应力与梁强度校核,2006 - 2006\2006年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题\2006\2006年期末（A卷）.pdf,D:\虚拟C盘\学习\固体力学\考题_按知识点整理\visual_assets\question_crops\2006_2006年期末_A卷\q-004.png,"4. 图示梁 AB 在 A 端固支、在 C 点与杆 CD 铰接、在 B 点作用集中力 P。设梁 AB 和杆 CD 的横截面均为边长为 b = a /10 的正方形,并且它们具有相同的弹 性模量 E 和许用应力 [σ] = 0.5 × 10 E 。杆 CD 的稳定安全因数 [ n]st = 1.5 。 -3 若忽略剪力影响,试求保证结构安全的最大载荷 P。(25 分) a 2a P A C B a D"
