group,path,status,extracted_text,char_count,candidate_count,note
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-1\第四章流体动力学补充例题1.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-1__第四章流体动力学补充例题1.doc.txt,705,4,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第三章 运动学.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第三章_运动学.doc.txt,292,3,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 自测题答案.doc,low_text,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第二章_自测题答案.doc.txt,109,0,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 静力学-1.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第二章_静力学-1.doc.txt,436,6,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第二章 静力学-补充例题.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第二章_静力学-补充例题.doc.txt,621,4,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第五章 流动损失.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第五章_流动损失.doc.txt,620,5,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第四章 动力学-1.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第四章_动力学-1.doc.txt,340,6,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\各章习题-2\第四章 动力学-补充例题.doc,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__各章习题-2__第四章_动力学-补充例题.doc.txt,705,4,Word COM text gb18030
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\流体力学习题.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__流体力学习题.pdf.txt,1905,11,pdftotext
课本/题库习题,D:\虚拟C盘\学习\流体力学\题库\习题\流体力学雨课堂试题整理.pdf,low_text,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\题库__习题__流体力学雨课堂试题整理.pdf.txt,114,0,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\何枫第5章_按课件内容匹配题目_最终纠正版.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__何枫第5章_按课件内容匹配题目_最终纠正版.pdf.txt,13829,5,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\何枫第5章_按课件内容匹配题目_最终纠正版.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__何枫第5章_按课件内容匹配题目_最终纠正版.tex.txt,9861,2,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_去作业版.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_原题练习汇总_去作业版.pdf.txt,486,0,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_去作业版.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_原题练习汇总_去作业版.tex.txt,1433,0,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_原题练习汇总_完整解答版.pdf.txt,33020,24,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_完整解答版.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_原题练习汇总_完整解答版.tex.txt,18892,34,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_原题练习汇总_答案版.pdf.txt,9750,9,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_原题练习汇总_答案版.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_原题练习汇总_答案版.tex.txt,6585,8,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_补充练习题单.pdf.txt,4668,14,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章理想流体_补充练习题单.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章理想流体_补充练习题单.tex.txt,4678,27,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章第6章流体力学作业_标准教案.pdf.txt,14845,14,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第5章第6章流体力学作业_标准教案.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第5章第6章流体力学作业_标准教案.tex.txt,10628,26,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整答案.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第8章粘性流动作业1_完整答案.pdf.txt,13939,3,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整答案.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第8章粘性流动作业1_完整答案.tex.txt,7890,4,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整题目.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第8章粘性流动作业1_完整题目.pdf.txt,1525,9,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业1_完整题目.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第8章粘性流动作业1_完整题目.tex.txt,2422,10,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第8章粘性流动作业_补全笔记.pdf.txt,11472,10,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第8章粘性流动作业_补全笔记.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第8章粘性流动作业_补全笔记.tex.txt,7539,13,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第七章作业3_更简写答案.md.txt,3165,4,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_更简写答案_公式渲染版.html,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第七章作业3_更简写答案_公式渲染版.html.txt,5291,0,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第七章作业3_简写答案.md.txt,4691,4,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\第七章作业3_简写答案_公式渲染版.html,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__第七章作业3_简写答案_公式渲染版.html.txt,7529,0,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\01_课本题目补全.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__01_课本题目补全.md.txt,1144,6,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\07_书10.2_平板层流边界层.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__07_书10.2_平板层流边界层.md.txt,1888,3,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\08_书10.3_排挤厚度和动量损失厚度.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__08_书10.3_排挤厚度和动量损失厚度.md.txt,2273,2,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\09_书10.5_正弦速度分布动量积分.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__09_书10.5_正弦速度分布动量积分.md.txt,2874,5,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\10_书10.10_火车摩擦阻力功率.md,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__10_书10.10_火车摩擦阻力功率.md.txt,1849,1,direct utf-8
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\13_粘性流动作业-2_题目与答案.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__13_粘性流动作业-2_题目与答案.pdf.txt,17964,8,pdftotext
课本/作业整理题,D:\虚拟C盘\学习\流体力学\第5-8章作业与复习_整理\粘性流动作业-2\13_粘性流动作业-2_题目与答案.tex,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\第5-8章作业与复习_整理__粘性流动作业-2__13_粘性流动作业-2_题目与答案.tex.txt,11135,11,direct utf-8
课本教材题-张扬军文本,D:\虚拟C盘\学习\流体力学\张扬军（车辆学院）\教材\流体力学教材_text.txt,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\张扬军（车辆学院）__教材__流体力学教材_text.txt.txt,566049,237,direct utf-8
课本教材题-教科书PDF,D:\虚拟C盘\学习\流体力学\教科书\工程流体力学 上册 李玉柱 贺五洲 PDF版 11701022.pdf,low_text,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\教科书__工程流体力学_上册_李玉柱_贺五洲_PDF版_11701022.pdf.txt,47,0,pdftotext
课本教材题-教科书PDF,D:\虚拟C盘\学习\流体力学\教科书\流体力学-吴望-上.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\教科书__流体力学-吴望-上.pdf.txt,6228,0,pypdf
课本教材题-教科书PDF,D:\虚拟C盘\学习\流体力学\教科书\流体力学-吴望-下.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\教科书__流体力学-吴望-下.pdf.txt,9848,0,pypdf
课本教材题-教科书PDF,D:\虚拟C盘\学习\流体力学\教科书\流体力学理论例题与习题-朱之墀主编.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\教科书__流体力学理论例题与习题-朱之墀主编.pdf.txt,6908,0,pypdf
课本题-课后解析题干提取,D:\虚拟C盘\学习\流体力学\作业答案\流体力学课后作业解析（全）.pdf,readable,D:\虚拟C盘\学习\流体力学\速查表v73_全量测试评判报告\extracted_text\作业答案__流体力学课后作业解析（全）.pdf.txt,1336,0,pypdf
