"Topic","PdfPage","PageType","Chapter","PPT文件","Slide","Note","Image"
"拉压专题","21","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","109","最大拉应力准则题链","slides_png\拉压专题\021_slide109_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","22","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","110","最大拉应变准则题链","slides_png\拉压专题\022_slide110_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","23","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","111","最大拉应变准则题链","slides_png\拉压专题\023_slide111_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","24","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","112","最大拉应变准则题链","slides_png\拉压专题\024_slide112_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","25","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","115","韧性材料拉伸屈服与Tresca准则题链","slides_png\拉压专题\025_slide115_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","26","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","116","韧性材料拉伸屈服与Tresca准则题链","slides_png\拉压专题\026_slide116_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","27","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","117","韧性材料拉伸屈服与Tresca准则题链","slides_png\拉压专题\027_slide117_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","28","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","118","韧性材料拉伸屈服与Tresca准则题链","slides_png\拉压专题\028_slide118_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","29","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","123","Mises准则与单向拉伸题链","slides_png\拉压专题\029_slide123_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","30","题链","第7章 应力状态与强度理论","固体力学基础第7章-应力状态，应力张量，平衡.ppt","124","Mises准则与单向拉伸题链","slides_png\拉压专题\030_slide124_固体力学基础第7章-应力状态，应力张量，平衡.png"
"拉压专题","31","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","142","偏心加载/轴力加弯矩题链","slides_png\拉压专题\031_slide142_材料力学第3章-弯曲应力分析.png"
"拉压专题","32","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","143","偏心加载/轴力加弯矩题链","slides_png\拉压专题\032_slide143_材料力学第3章-弯曲应力分析.png"
"拉压专题","33","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","144","偏心加载/轴力加弯矩题链","slides_png\拉压专题\033_slide144_材料力学第3章-弯曲应力分析.png"
"拉压专题","34","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","145","偏心加载/轴力加弯矩题链","slides_png\拉压专题\034_slide145_材料力学第3章-弯曲应力分析.png"
"拉压专题","35","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","146","偏心加载/轴力加弯矩题链","slides_png\拉压专题\035_slide146_材料力学第3章-弯曲应力分析.png"
"拉压专题","36","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","147","偏心加载/轴力加弯矩题链","slides_png\拉压专题\036_slide147_材料力学第3章-弯曲应力分析.png"
"拉压专题","37","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","148","偏心加载/轴力加弯矩题链","slides_png\拉压专题\037_slide148_材料力学第3章-弯曲应力分析.png"
"拉压专题","38","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","149","偏心加载/轴力加弯矩题链","slides_png\拉压专题\038_slide149_材料力学第3章-弯曲应力分析.png"
"拉压专题","39","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","150","偏心加载/轴力加弯矩题链","slides_png\拉压专题\039_slide150_材料力学第3章-弯曲应力分析.png"
"拉压专题","40","题链","第3章 弯曲应力分析中的偏心拉压","材料力学第3章-弯曲应力分析.ppt","151","偏心加载/轴力加弯矩题链","slides_png\拉压专题\040_slide151_材料力学第3章-弯曲应力分析.png"
"拉压专题","41","开放案例","第3章 弯曲应力分析中的拉压拓展","材料力学第3章-弯曲应力分析.ppt","177","复合材料直杆轴向载荷开放题","slides_png\拉压专题\041_slide177_材料力学第3章-弯曲应力分析.png"
"拉压专题","42","题干","第8章 应力张量与应变张量","第8章：应力张量与应变张量.pptx","41","轴向拉伸薄板作业题","slides_png\拉压专题\042_slide041_第8章：应力张量与应变张量.png"
"拉压专题","43","思考","第9章 本构方程","第9章：本构方程.pptx","24","轴向杆应变能问题","slides_png\拉压专题\043_slide024_第9章：本构方程.png"
"截面几何专题","1","思考","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","5","为什么研究截面图形几何性质","slides_png\截面几何专题\001_slide005_材料力学第3章-弯曲应力分析.png"
"截面几何专题","2","题干","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","18","圆截面惯性矩与极惯性矩例题","slides_png\截面几何专题\002_slide018_材料力学第3章-弯曲应力分析.png"
"截面几何专题","3","题干","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","19","矩形截面惯性矩例题","slides_png\截面几何专题\003_slide019_材料力学第3章-弯曲应力分析.png"
"截面几何专题","4","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","22","移轴定理题链","slides_png\截面几何专题\004_slide022_材料力学第3章-弯曲应力分析.png"
"截面几何专题","5","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","23","移轴定理题链","slides_png\截面几何专题\005_slide023_材料力学第3章-弯曲应力分析.png"
"截面几何专题","6","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","24","移轴定理题链","slides_png\截面几何专题\006_slide024_材料力学第3章-弯曲应力分析.png"
"截面几何专题","7","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","25","移轴定理题链","slides_png\截面几何专题\007_slide025_材料力学第3章-弯曲应力分析.png"
"截面几何专题","8","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","28","转轴公式题链","slides_png\截面几何专题\008_slide028_材料力学第3章-弯曲应力分析.png"
"截面几何专题","9","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","29","转轴公式题链","slides_png\截面几何专题\009_slide029_材料力学第3章-弯曲应力分析.png"
"截面几何专题","10","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","30","转轴公式题链","slides_png\截面几何专题\010_slide030_材料力学第3章-弯曲应力分析.png"
"截面几何专题","11","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","31","转轴公式题链","slides_png\截面几何专题\011_slide031_材料力学第3章-弯曲应力分析.png"
"截面几何专题","12","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","42","组合图形形心主矩例题链","slides_png\截面几何专题\012_slide042_材料力学第3章-弯曲应力分析.png"
"截面几何专题","13","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","43","组合图形形心主矩例题链","slides_png\截面几何专题\013_slide043_材料力学第3章-弯曲应力分析.png"
"截面几何专题","14","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","44","组合图形形心主矩例题链","slides_png\截面几何专题\014_slide044_材料力学第3章-弯曲应力分析.png"
"截面几何专题","15","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","45","组合图形形心主矩例题链","slides_png\截面几何专题\015_slide045_材料力学第3章-弯曲应力分析.png"
"截面几何专题","16","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","46","组合图形形心主矩例题链","slides_png\截面几何专题\016_slide046_材料力学第3章-弯曲应力分析.png"
"截面几何专题","17","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","94","无对称轴截面坐标轴/主轴条件题链","slides_png\截面几何专题\017_slide094_材料力学第3章-弯曲应力分析.png"
"截面几何专题","18","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","95","无对称轴截面坐标轴/主轴条件题链","slides_png\截面几何专题\018_slide095_材料力学第3章-弯曲应力分析.png"
"截面几何专题","19","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","96","无对称轴截面坐标轴/主轴条件题链","slides_png\截面几何专题\019_slide096_材料力学第3章-弯曲应力分析.png"
"截面几何专题","20","思考","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","157","开孔位置与截面几何应用思考题","slides_png\截面几何专题\020_slide157_材料力学第3章-弯曲应力分析.png"
"截面几何专题","21","思考","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","158","开孔位置与截面几何应用思考题","slides_png\截面几何专题\021_slide158_材料力学第3章-弯曲应力分析.png"
"截面几何专题","22","思考","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","165","中性轴与形心/加载方向思考题","slides_png\截面几何专题\022_slide165_材料力学第3章-弯曲应力分析.png"
"截面几何专题","23","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","167","主轴判断题链","slides_png\截面几何专题\023_slide167_材料力学第3章-弯曲应力分析.png"
"截面几何专题","24","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","168","主轴判断题链","slides_png\截面几何专题\024_slide168_材料力学第3章-弯曲应力分析.png"
"截面几何专题","25","题链","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","169","主轴判断题链","slides_png\截面几何专题\025_slide169_材料力学第3章-弯曲应力分析.png"
"截面几何专题","26","开放案例","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","176","等边三角形形心主轴开放题","slides_png\截面几何专题\026_slide176_材料力学第3章-弯曲应力分析.png"
"截面几何专题","27","开放案例","第3章 弯曲应力分析","材料力学第3章-弯曲应力分析.ppt","178","复合梁中性轴与最大应力开放题","slides_png\截面几何专题\027_slide178_材料力学第3章-弯曲应力分析.png"
"截面几何专题","28","思考","第6章 压杆稳定中的截面惯性矩应用","固体力学基础第6章－压杆稳定.ppt","82","欧拉公式中惯性矩选取思考题","slides_png\截面几何专题\028_slide082_固体力学基础第6章－压杆稳定.png"
"截面几何专题","29","思考","第6章 压杆稳定中的截面惯性矩应用","固体力学基础第6章－压杆稳定.ppt","83","欧拉公式中惯性矩选取思考题","slides_png\截面几何专题\029_slide083_固体力学基础第6章－压杆稳定.png"
"扭转专题","1","思考","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","5","扭转判别题","slides_png\扭转专题\001_slide005_固体力学基础第2章－圆轴扭转.png"
"扭转专题","2","思考","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","6","扭转判别题","slides_png\扭转专题\002_slide006_固体力学基础第2章－圆轴扭转.png"
"扭转专题","3","思考","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","7","扭转判别题","slides_png\扭转专题\003_slide007_固体力学基础第2章－圆轴扭转.png"
"扭转专题","4","题链","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","10","圆轴扭矩图例题链","slides_png\扭转专题\004_slide010_固体力学基础第2章－圆轴扭转.png"
"扭转专题","5","题链","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","11","圆轴扭矩图例题链","slides_png\扭转专题\005_slide011_固体力学基础第2章－圆轴扭转.png"
"扭转专题","6","题链","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","12","圆轴扭矩图例题链","slides_png\扭转专题\006_slide012_固体力学基础第2章－圆轴扭转.png"
"扭转专题","7","题链","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","14","剪应力互等定理思考链","slides_png\扭转专题\007_slide014_固体力学基础第2章－圆轴扭转.png"
"扭转专题","8","题链","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","15","剪应力互等定理思考链","slides_png\扭转专题\008_slide015_固体力学基础第2章－圆轴扭转.png"
"扭转专题","9","题链","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","16","剪应力互等定理思考链","slides_png\扭转专题\009_slide016_固体力学基础第2章－圆轴扭转.png"
"扭转专题","10","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","53","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\010_slide053_固体力学基础第2章－圆轴扭转.png"
"扭转专题","11","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","54","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\011_slide054_固体力学基础第2章－圆轴扭转.png"
"扭转专题","12","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","55","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\012_slide055_固体力学基础第2章－圆轴扭转.png"
"扭转专题","13","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","56","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\013_slide056_固体力学基础第2章－圆轴扭转.png"
"扭转专题","14","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","57","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\014_slide057_固体力学基础第2章－圆轴扭转.png"
"扭转专题","15","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","58","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\015_slide058_固体力学基础第2章－圆轴扭转.png"
"扭转专题","16","开放案例","第2章 圆轴扭转","固体力学基础第2章－圆轴扭转.ppt","59","扭转剪应力/变形协调开放案例链","slides_png\扭转专题\016_slide059_固体力学基础第2章－圆轴扭转.png"
"扭转专题","17","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","141","弯扭组合圆杆直径设计题链","slides_png\扭转专题\017_slide141_固体力学基础第7章-应力状态，应力张量，平衡.png"
"扭转专题","18","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","142","弯扭组合圆杆直径设计题链","slides_png\扭转专题\018_slide142_固体力学基础第7章-应力状态，应力张量，平衡.png"
"扭转专题","19","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","143","弯扭组合圆杆直径设计题链","slides_png\扭转专题\019_slide143_固体力学基础第7章-应力状态，应力张量，平衡.png"
"扭转专题","20","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","144","弯扭组合圆杆直径设计题链","slides_png\扭转专题\020_slide144_固体力学基础第7章-应力状态，应力张量，平衡.png"
"扭转专题","21","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","145","弯扭组合圆杆直径设计题链","slides_png\扭转专题\021_slide145_固体力学基础第7章-应力状态，应力张量，平衡.png"
"扭转专题","22","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","146","弯扭组合圆杆直径设计题链","slides_png\扭转专题\022_slide146_固体力学基础第7章-应力状态，应力张量，平衡.png"
"扭转专题","23","题链","第7章 应力状态与强度理论中的弯扭组合","固体力学基础第7章-应力状态，应力张量，平衡.ppt","147","弯扭组合圆杆直径设计题链","slides_png\扭转专题\023_slide147_固体力学基础第7章-应力状态，应力张量，平衡.png"
